,name,kana_name,party,detail_url,picture_url,age,sex,blog_url,election_name,election_distric,election_day,election_info,other_info,web_site_info
57,中川 賢一,ナカガワ ケンイチ,,https://go2senkyo.com//seijika/68333,https://go2senkyo-com-production-1.s3.ap-northeast-1.amazonaws.com/uploads/seijika/image_file_name/68333/7fa6d42e3194372cffd7bc228ebc8f1e.jpg,54,男,,札幌市議会議員選挙,中央区選挙区,(2019/03/29),"札幌市議会議員選挙 (2019/03/29) [当選] 17,772 票
                              ",,"['http://www.daisuki-sapporo.net/', 'https://www.facebook.com/room.of.nakagawa/']"
58,中山 豊士,ナカヤマ トヨシ,,https://go2senkyo.com//seijika/129614,,109,男,,札幌市議会議員選挙,東区選挙区,(1979/04/01),"札幌市議会議員選挙 (1979/04/01) [当選] 7,539 票
                              ",,[]
59,新山 ■,ニイヤマ ヤスシ,,https://go2senkyo.com//seijika/129584,,76,男,,札幌市議会議員選挙,手稲区選挙区,(1999/04/04),"札幌市議会議員選挙 (1999/04/04) 8,348 票
                              ",,[]
60,新山 ■,ニイヤマ ヤスシ,,https://go2senkyo.com//seijika/130659,,76,男,,札幌市議会議員選挙,手稲区選挙区,(2003/04/04),"札幌市議会議員選挙 (2003/04/04) 6,700 票
                              ",,[]
61,野間 義男,ノマ ヨシオ,,https://go2senkyo.com//seijika/129601,,96,男,,札幌市議会議員選挙,北区選挙区,(1991/03/31),"札幌市議会議員選挙 (1991/03/31) [当選] 10,448 票
                              ",,[]
62,馬場 泰年,ババ ヤストシ,,https://go2senkyo.com//seijika/128477,,79,男,,札幌市議会議員選挙,白石区選挙区,(2007/03/30),"札幌市議会議員選挙 (2007/03/30) [当選] 10,341 票
                              ",,[]
63,原口 伸一,ハラグチ シンイチ,,https://go2senkyo.com//seijika/129566,,87,男,,札幌市議会議員選挙,厚別区選挙区,(2003/04/04),"札幌市議会議員選挙 (2003/04/04) [当選] 13,358 票
                              ",,[]
64,藤田 とし人,フジタ トシヒト,自由民主党,https://go2senkyo.com//seijika/126777,https://go2senkyo-com-production-1.s3.ap-northeast-1.amazonaws.com/uploads/seijika/image_file_name/126777/896efc65a180f38de8cd61e4274dba63.jpg,43,男,,札幌市議会議員選挙,白石区選挙区,(2019/03/29),"札幌市議会議員選挙 (2019/03/29) [当選] 14,647 票
                              ",,"['http://www.toshihito-fujita.com/', 'https://www.facebook.com/toshihito.fujita', 'https://twitter.com/ToshihitoFujita']"
65,細川 正人,ホソカワ マサト,,https://go2senkyo.com//seijika/126772,https://go2senkyo-com-production-1.s3.ap-northeast-1.amazonaws.com/uploads/seijika/image_file_name/126772/f3b369d0181a378dd745ff104339ae22.jpg,66,男,,札幌市議会議員選挙,中央区選挙区,(2019/03/29),"札幌市議会議員選挙 (2019/03/29) [当選] 11,339 票
                              ",,"['http://www.matt-hosokawa.jp/', 'https://www.facebook.com/people/Masato-Hosokawa/100006347911292']"
66,堀川 素人,ホリカワ モトヒト,,https://go2senkyo.com//seijika/130757,,64,男,,札幌市議会議員選挙,南区選挙区,(1995/04/02),"札幌市議会議員選挙 (1995/04/02) [当選] 11,748 票
                              ",,[]
67,牧野 重太,マキノ シゲタ,,https://go2senkyo.com//seijika/129640,,114,男,,札幌市議会議員選挙,豊平区選挙区,(1975/04/06),"札幌市議会議員選挙 (1975/04/06) [当選] 10,134 票
                              ",,[]
68,まつい 隆文,マツイ タカフミ,,https://go2senkyo.com//seijika/156596,https://go2senkyo-com-production-1.s3.ap-northeast-1.amazonaws.com/uploads/seijika/image_file_name/156596/0fd4a172482916f5f38b34245fee7806.jpg,46,男,,札幌市議会議員選挙,手稲区選挙区,(2019/03/29),"札幌市議会議員選挙 (2019/03/29) [当選] 14,094 票
                              ",,"['http://www.matsui-t.jp/', ' https://www.facebook.com/takafumi.matsui.teine/']"
69,松宮 利市,マツミヤ リイチ,,https://go2senkyo.com//seijika/129625,,112,男,,札幌市議会議員選挙,白石区選挙区,(1979/04/01),"札幌市議会議員選挙 (1979/04/01) [当選] 7,227 票
                              ",,[]
70,松本 久蔵,マツモト キュウゾウ,,https://go2senkyo.com//seijika/129639,,108,男,,札幌市議会議員選挙,豊平区選挙区,(1979/04/01),"札幌市議会議員選挙 (1979/04/01) 6,774 票
                              ",,[]
71,三上 洋右,ミカミ ヨウスケ,,https://go2senkyo.com//seijika/126821,https://go2senkyo-com-production-1.s3.ap-northeast-1.amazonaws.com/uploads/seijika/image_file_name/126821/51f2d5de8fc539aa0086fa7c9327f895.jpg,76,男,,札幌市議会議員選挙,豊平区選挙区,(2019/03/29),"札幌市議会議員選挙 (2019/03/29) [当選] 16,317 票
                              ",,"['http://www.mikami21.com/', 'https://www.youtube.com/channel/UCy6M2Q_6eby1PNdAZBhkENg']"
72,三沢 清治,ミサワ セイジ,,https://go2senkyo.com//seijika/130716,,95,男,,札幌市議会議員選挙,東区選挙区,(1979/04/01),"札幌市議会議員選挙 (1979/04/01) 5,658 票
                              ",,[]
73,水岡 馨,ミズオカ カオル,,https://go2senkyo.com//seijika/129651,,93,男,,札幌市議会議員選挙,南区選挙区,(1975/04/06),"札幌市議会議員選挙 (1975/04/06) [当選] 7,569 票
                              ",,[]
74,見延 順章,ミノベ ヨシアキ,,https://go2senkyo.com//seijika/129602,,79,男,,北海道議会議員選挙,北区選挙区,(2007/03/30),"北海道議会議員選挙 (2007/03/30) [当選] 27,873 票
                              ",,[]
75,宮川 新市,ミヤカワ シンイチ,,https://go2senkyo.com//seijika/129612,,101,男,,札幌市議会議員選挙,東区選挙区,(1987/04/05),"札幌市議会議員選挙 (1987/04/05) [当選] 9,279 票
                              ",,[]
76,宮田 泰成,ミヤタ ヒロナリ,,https://go2senkyo.com//seijika/129588,,97,男,,札幌市議会議員選挙,中央区選挙区,(1991/03/31),"札幌市議会議員選挙 (1991/03/31) 4,361 票
                              ",,[]
77,宮村 素子,ミヤムラ モトコ,,https://go2senkyo.com//seijika/126830,https://go2senkyo-com-production-1.s3.ap-northeast-1.amazonaws.com/uploads/seijika/image_file_name/126830/e21fa70b295c62df7a8fc5ba6ee62eab.jpg,79,女,,札幌市議会議員選挙,清田区選挙区,(2015/04/03),"札幌市議会議員選挙 (2015/04/03) [当選] 11,071 票
                              ",,"['http://miyamuramotoko.com/', 'https://www.facebook.com/miyamura.motoko']"
78,宮本 吉人,ミヤモト ヨシト,,https://go2senkyo.com//seijika/128465,,81,男,,札幌市議会議員選挙,中央区選挙区,(2007/03/30),"札幌市議会議員選挙 (2007/03/30) [当選] 11,691 票
                              ",,[]
79,宗形 雅俊,ムネカタ マサトシ,,https://go2senkyo.com//seijika/126834,,66,男,,札幌市議会議員選挙,南区選挙区,(2015/04/03),"札幌市議会議員選挙 (2015/04/03) [当選] 13,090 票
                              ",,"['http://munekata-masatoshi.com/', 'https://www.facebook.com/masatoshi.munekata', 'https://twitter.com/munemagokoro']"
80,むらまつ 叶啓,ムラマツ ヤスヒロ,自由民主党,https://go2senkyo.com//seijika/156595,https://go2senkyo-com-production-1.s3.ap-northeast-1.amazonaws.com/uploads/seijika/image_file_name/156595/4f03881da4d615dde2394868de079ed0.jpg,46,男,https://go2senkyo.com//seijika/156595/posts,札幌市議会議員選挙,北区選挙区,(2019/03/29),"札幌市議会議員選挙 (2019/03/29) [当選] 7,444 票
                              ",札幌市議会議員,
81,村山 優治,ムラヤマ ユウジ,,https://go2senkyo.com//seijika/129580,,72,男,,札幌市議会議員選挙,西区選挙区,(2003/04/04),"札幌市議会議員選挙 (2003/04/04) [当選] 8,262 票
                              ",,[]
82,村山 拓司,ムラヤマ タクジ,,https://go2senkyo.com//seijika/156594,https://go2senkyo-com-production-1.s3.ap-northeast-1.amazonaws.com/uploads/seijika/image_file_name/156594/b6a9a06702a0d9f561b8309c111e073b.jpg,39,男,,札幌市議会議員選挙,西区選挙区,(2019/03/29),"札幌市議会議員選挙 (2019/03/29) [当選] - 票
              ",,"['https://murayama-takuji.com/', 'https://www.facebook.com/taft.murayama']"
83,村山 秀哉,ムラヤマ シュウヤ,,https://go2senkyo.com//seijika/35289,,69,男,,札幌市議会議員選挙,西区選挙区,(2011/04/01),"札幌市議会議員選挙 (2011/04/01) [当選] 11,236 票
                              ",,[]
84,室橋 一郎,ムロハシ イチロウ,,https://go2senkyo.com//seijika/130724,,83,男,,札幌市議会議員選挙,豊平区選挙区,(1995/04/02),"札幌市議会議員選挙 (1995/04/02) [当選] 8,934 票
                              ",,[]
85,元永 文夫,モトナガ フミオ,,https://go2senkyo.com//seijika/129650,,101,男,,札幌市議会議員選挙,南区選挙区,(1979/04/01),"札幌市議会議員選挙 (1979/04/01) [当選] 9,552 票
                              ",,[]
86,森 和雄,モリ カズオ,,https://go2senkyo.com//seijika/129621,,94,男,,札幌市議会議員選挙,東区選挙区,(1991/03/31),"札幌市議会議員選挙 (1991/03/31) [当選] 8,445 票
                              ",,[]
87,山田 一仁,ヤマダ カズヒト,,https://go2senkyo.com//seijika/126797,https://go2senkyo-com-production-1.s3.ap-northeast-1.amazonaws.com/uploads/seijika/image_file_name/126797/300bedd0ac0fafa2ae6ba0631147146a.jpg,71,男,,札幌市議会議員選挙,東区選挙区,(2019/03/29),"札幌市議会議員選挙 (2019/03/29) [当選] 10,998 票
                              ",,"['http://www.yamada-kazuhito.com/', 'https://www.youtube.com/channel/UCwZpgVAwoIAqeH7icw4qgog']"
88,山田 長吉,ヤマダ チョウキチ,,https://go2senkyo.com//seijika/129627,,104,男,,札幌市議会議員選挙,白石区選挙区,(1987/04/05),"札幌市議会議員選挙 (1987/04/05) [当選] 8,492 票
                              ",,[]
89,山田 信市郎,ヤマダ シンイチロウ,,https://go2senkyo.com//seijika/130714,,94,男,,札幌市議会議員選挙,東区選挙区,(1995/04/02),"札幌市議会議員選挙 (1995/04/02) [当選] 11,966 票
                              ",,[]
90,横山 光之,ヨコヤマ ミツユキ,,https://go2senkyo.com//seijika/129550,,76,男,,札幌市議会議員選挙,北区選挙区,(2003/04/04),"札幌市議会議員選挙 (2003/04/04) [当選] 10,350 票
                              ",,[]
91,横山 峰子,ヨコヤマ ミネコ,,https://go2senkyo.com//seijika/126788,https://go2senkyo-com-production-1.s3.ap-northeast-1.amazonaws.com/uploads/seijika/image_file_name/126788/bef7a372dfea38263dc47bd06c4933b4.jpg,70,女,,札幌市議会議員選挙,北区選挙区,(2019/03/29),"札幌市議会議員選挙 (2019/03/29) [当選] 11,623 票
                              ",,"['http://www.mineko.info/', 'https://www.facebook.com/YokoyamaMineko', 'https://twitter.com/YokoyamaMineko']"
92,吉田 進一,ヨシダ シンイチ,,https://go2senkyo.com//seijika/129563,,69,男,,札幌市議会議員選挙,白石区選挙区,(2003/04/04),"札幌市議会議員選挙 (2003/04/04) 7,200 票
                              ",,[]
93,吉田 一郎,ヨシダ イチロウ,,https://go2senkyo.com//seijika/129585,,107,男,,札幌市議会議員選挙,中央区選挙区,(1987/04/05),"札幌市議会議員選挙 (1987/04/05) [当選] 6,415 票
                              ",,[]
94,吉野 晃司,ヨシノ テルジ,,https://go2senkyo.com//seijika/129587,,98,男,,札幌市議会議員選挙,中央区選挙区,(1995/04/02),"札幌市議会議員選挙 (1995/04/02) [当選] 7,560 票
                              ",,[]
95,吉野 忠男,ヨシノ タダオ,,https://go2senkyo.com//seijika/128485,,62,男,,札幌市議会議員選挙,南区選挙区,(2007/03/30),"札幌市議会議員選挙 (2007/03/30) 7,039 票
                              ",,[]
